horizon,model,family,RMSE_state,MAE_state,R2_mean,RMSE_x,RMSE_y,RMSE_z,MAE_x,R2_x,MAE_y,R2_y,MAE_z,R2_z
100,MLP-residual-relu-128x128,MLP,2.112407168572958,1.1002119610587386,0.980601307686784,0.7918617080271783,1.6829049041001167,1.0015239213091602,0.36708293767979844,0.9894324782729982,0.7168010090227716,0.9647019090872313,0.5414017465723349,0.9876695357001224
100,MLP-residual-relu-64x64x64,MLP,1.4133215045306196,0.7184704823801525,0.9912827957676235,0.5535864861143146,1.0816715331794429,0.7218077111457962,0.27847376813416347,0.9948352961417991,0.41410101882306216,0.9854178061920864,0.38501161682287766,0.993595284968985
100,MLP-residual-tanh-64x64,MLP,2.1923362245962106,1.2443569119654856,0.97923028325252,0.7652976947082109,1.8041465167409407,0.9827069279712012,0.3486682353871965,0.9901295881347814,0.8094366032877254,0.9594327401698055,0.6739323450627369,0.9881285214529734
100,ESN-residual,ESN,76.98772939283964,11.508477083652842,-26.00321379516579,41.490823352297454,41.830924598446686,49.55598653899064,4.363688569512772,-28.012060271453233,6.134858171107619,-20.808560145280072,6.380940360213807,-29.189020968764066
500,baseline-Random Forest,baseline,12.786799940016722,9.173743378025689,0.2606502386841206,7.374487603003897,8.366297778148553,6.254937792376528,,,,,,
500,baseline-MLP,baseline,13.685845688006024,11.609262994567299,0.15910680933358903,7.611141963744978,8.550397478301269,7.500906156371551,,,,,,
500,MLP-direct-scaled-relu-64x64,MLP,14.67503484807659,12.064357214448606,0.02820341141447132,8.377032122999276,9.563161993939582,7.329932692744869,6.538850268845048,-0.14958969697319202,6.938930855060502,-0.11164295510547584,5.60648101914959,0.3458428863220818
500,MLP-residual-relu-32x32,MLP,14.151769696721356,11.558636518490086,0.09867621788204217,7.969734813712331,8.912985494580893,7.5706407999279115,6.0209356501106095,-0.040519546325702205,6.29193613866578,0.03437457003593958,5.960254221974514,0.30217362993588914
500,MLP-residual-relu-64x64,MLP,13.824252886966548,11.267812236186598,0.1416727177043,7.705104112852845,8.864599868356308,7.291104694546531,5.870568421741455,0.027433012464526896,6.370709925002693,0.04483022959346383,5.625402485005304,0.3527549110549093
500,MLP-residual-relu-128x128,MLP,14.053407329885065,11.471881104803725,0.10917612354622179,8.00417137854845,9.010313610720258,7.228121938578675,5.957342749842042,-0.04953097093095504,6.5930555522493295,0.01317053248021749,5.648411959007939,0.3638888090894029
500,MLP-residual-relu-64x64x64,MLP,14.501342221471694,11.85247049096886,0.05074396422278445,8.291865969826814,9.429135826667368,7.254328537151009,6.311532632329012,-0.12633362172612528,6.818551454266498,-0.08070230709199921,5.592106410320887,0.35926782148647785
500,MLP-residual-tanh-64x64,MLP,13.94067557129703,11.872373871078954,0.13048643296654175,7.613710028081252,8.604451554750217,7.895395394431448,6.049215591332381,0.05036838170870772,6.396597552916131,0.10007009773298647,6.230605314142509,0.24102081945793108
500,ESN-residual,ESN,230.63792582522908,33.02155870710911,-220.05184492398055,60.91566932909953,73.25733249958816,210.03927559910417,11.518650734358966,-59.78837616152609,14.02890281618891,-64.23257113700652,24.54490644347822,-536.134587473409
